sensor_id,MAE,RMSE,R2
0,0.2919,0.4361,0.9981
1,0.2819,0.4243,0.9982
2,0.2927,0.4343,0.9981
3,0.2871,0.429,0.9981
4,0.2848,0.4274,0.9981
5,0.2827,0.4252,0.9982
6,0.2939,0.4358,0.9981
7,0.2813,0.4256,0.9981
8,0.2822,0.4253,0.9981
9,0.2893,0.4313,0.9981
10,0.2892,0.4316,0.9981
11,0.2819,0.4262,0.9981
12,0.2833,0.4256,0.9982
13,0.2775,0.4222,0.9982
14,0.2865,0.4294,0.9981
15,0.2886,0.4321,0.9981
16,0.2844,0.4284,0.9981
17,0.2902,0.4318,0.9981
18,0.2852,0.4278,0.9981
19,0.2867,0.4274,0.9981
20,0.2851,0.429,0.9981
21,0.2837,0.4262,0.9981
22,0.2884,0.4303,0.9981
23,0.2839,0.4265,0.9981
24,0.2891,0.4315,0.9981
25,0.2877,0.4299,0.9981
26,0.284,0.4266,0.9981
27,0.2901,0.4308,0.9981
28,0.2814,0.4216,0.9982
29,0.2812,0.4216,0.9982
30,0.2854,0.4269,0.9981
31,0.2889,0.4303,0.9981
32,0.2903,0.4325,0.9981
33,0.2861,0.4302,0.9981
34,0.2846,0.4274,0.9981
35,0.2834,0.4262,0.9981
36,0.2792,0.4207,0.9982
37,0.2865,0.4287,0.9981
38,0.2895,0.4321,0.9981
39,0.2801,0.4228,0.9982
40,0.2835,0.4267,0.9981
41,0.2818,0.4246,0.9982
42,0.2881,0.4317,0.9981
43,0.2828,0.4262,0.9981
44,0.2875,0.4295,0.9981
45,0.2921,0.4346,0.9981
46,0.2789,0.422,0.9982
47,0.2852,0.4282,0.9981
48,0.2827,0.425,0.9982
49,0.2897,0.4337,0.9981
